draw,task_a_t10_balanced_accuracy_delta,task_c_macro_f1_delta,task_c_brier_delta
74,0.09193245779,-0.05267326862,0.02352860905
75,-0.005050505051,-0.04990412216,0.02314990041
76,0.04516129032,-0.05217067729,0.01590330935
77,0.07875264271,-0.05647483242,0.02743638868
78,0.0199488491,-0.07015666036,0.02258743388
79,-0.006091846298,-0.03761468297,0.02078221649
80,0.1666666667,-0.03027525171,0.01788289798
81,0.1315789474,-0.05798585958,0.01891979906
82,0.1127717391,-0.03358185073,0.01026007722
83,0.06732348112,-0.08318939523,0.03242111476
84,-0.006342494715,-0.03486670415,0.01339324709
85,-0.1059782609,-0.06157561712,0.02696581941
86,-0.01862803075,-0.07144052081,0.02104015808
87,0.08333333333,-0.07094516701,0.023781298
88,0.02777777778,-0.04152859719,0.008152194167
89,0.01666666667,-0.04928245952,0.02103696502
90,0.02038043478,-0.06143346023,0.02320312859
91,-0.02352941176,-0.0350208327,0.01378636163
92,0.1014799154,-0.05733814626,0.02313099142
93,0.03319838057,-0.06599822221,0.02522960006
94,0.07175177763,-0.04496961692,0.01658924442
95,0.07777777778,-0.04517199303,0.02008404074
96,0.09569892473,-0.05071074803,0.02172287465
97,0.02222222222,-0.04283233442,0.01710442964
98,0.1075533662,-0.0615007684,0.02813720802
99,0.01785714286,-0.05330311719,0.0185926732
100,0.005555555556,-0.03471874483,0.02576130402
101,0.002069781195,-0.04742529964,0.01798685302
102,0.1444444444,-0.03938330131,0.0147228324
103,0.04523950325,-0.060957635,0.02915545756
104,0.06163682864,-0.04246876393,0.01800950442
105,0.07142857143,-0.02997169609,0.01399125963
106,0.1075533662,-0.03550543823,0.02674852462
107,-0.02247191011,-0.04546193445,0.01940181242
108,0.09760827408,-0.04743910717,0.0218293392
109,0.05555555556,-0.06481352981,0.02565099621
110,0.008152173913,-0.05568476772,0.02568986947
111,0.013136289,-0.04628698547,0.02044219082
112,-0.01215805471,-0.07156633069,0.02269261682
113,-0.02424600828,-0.05345568905,0.01860328041
114,0.0221987315,-0.04530389046,0.01465143277
115,0.07346723044,-0.03168143226,0.01222391149
116,-0.04736842105,-0.05211518803,0.01785108925
117,0.09225310467,-0.07125111633,0.03258180412
118,-0.0375,-0.052956404,0.01257424261
119,0.04090909091,-0.05334632834,0.01530255796
120,-0.01488095238,-0.0400952323,0.01534517557
121,0.03532608696,-0.03385213258,0.01262410982
122,0.2036474164,-0.03659324354,0.01803052927
123,0.03333333333,-0.04854907485,0.02532801196
124,0.128030751,-0.05188568551,0.02459944335
125,0.003878474467,-0.03150326481,0.02355805745
126,0.03888888889,-0.04318451786,0.02293820277
127,0.03068181818,-0.04847417289,0.02197223608
128,0.05720749838,-0.05116673955,0.01605812078
129,0.1354166667,-0.03146317221,0.01500497039
130,-0.01666666667,-0.03501184765,0.02509768016
131,-0.004926108374,-0.04151273664,0.01504848077
132,-0.003643724696,-0.05673289998,0.03052105702
133,0.1508152174,-0.06393081292,0.02455836352
134,0.05,-0.07136889468,0.02705277733
135,0.05570652174,-0.03600743789,0.01750828488
136,0.1397849462,-0.03141435394,0.022139068
137,0.01291793313,-0.03685352222,0.01388374442
138,0.01842275372,-0.04080061671,0.01516063407
139,0.09099437148,-0.04035481455,0.0138078304
140,0.03135100194,-0.04839198767,0.01579890881
141,-0.01477272727,-0.07201472566,0.02715646569
142,-0.06043956044,-0.04889619235,0.0295559075
143,0.1189217759,-0.05045137252,0.02374462811
144,0.08192771084,-0.05884346629,0.02216450159
145,0.005555555556,-0.04892624145,0.02453480919
146,0.2182140745,-0.06067978808,0.02434502973
147,0.1543465405,-0.05841469963,0.02260942392
148,0.09225310467,-0.06134364797,0.02021752213
149,0.01666666667,-0.06451191784,0.03464821433
150,0.006568144499,-0.02970006544,0.01438550504
151,0.03694581281,-0.0611122313,0.01441977409
152,0.1339285714,-0.03591761691,0.02160283479
153,0.02222222222,-0.05950982122,0.02237895342
154,-0.05688429218,-0.04930011353,0.0225883498
155,-0.04494382022,-0.03548412337,0.01784653442
156,-0.05254515599,-0.06227986184,0.02632845137
157,0.1489980608,-0.03400360925,0.01540850499
158,0.1129509166,-0.05466277641,0.02316236616
159,0.09239130435,-0.04050754761,0.02350992458
160,-0.005208333333,-0.0630038582,0.02155055636
161,0.05027173913,-0.0774006524,0.02438734198
162,0.0875,-0.0634087042,0.0315097721
163,0.06458966565,-0.04763836694,0.02724060756
164,0.1109974425,-0.03820480359,0.02331656412
165,0.04086021505,-0.05598594189,0.02696851983
166,0.08468002586,-0.03082218014,0.0169883711
167,-0.05555555556,-0.0577861069,0.01629504386
168,0.07159090909,-0.04817048233,0.02404562057
169,0.02404092072,-0.04341381077,0.02137234854
170,0.02159090909,-0.04122285001,0.01685568708
171,0.1109422492,-0.02196335223,0.02408340876
172,0.03330206379,-0.04305506907,0.01527352415
173,0.06163682864,-0.0580213081,0.01494512689
174,0.009510869565,-0.05236863904,0.02218140625
175,0.09688013136,-0.03699214228,0.01567333674
176,0.09226190476,-0.04894593408,0.01838268374
177,0.02779573368,-0.04627172447,0.02161948783
178,-0.01559934319,-0.02397532429,0.01179479922
179,0.07777777778,-0.05273537356,0.0175905388
180,-0.03804347826,-0.04159342945,0.01664010422
181,0.07065217391,-0.0469651427,0.02257793284
182,0.09068825911,-0.06790529414,0.02397636739
183,0.01902173913,-0.06344841095,0.02115775589
